batch_id,age_days,mix_type,strength_mpa
Batch_A,7,Standard,28.5
Batch_A,7,Standard,29.2
Batch_A,7,Standard,27.8
Batch_A,7,Standard,30.1
Batch_A,7,Standard,28.9
Batch_A,14,Standard,32.4
Batch_A,14,Standard,33.1
Batch_A,14,Standard,31.8
Batch_A,14,Standard,34.2
Batch_A,14,Standard,32.7
Batch_A,28,Standard,35.6
Batch_A,28,Standard,36.2
Batch_A,28,Standard,34.9
Batch_A,28,Standard,37.1
Batch_A,28,Standard,35.8
Batch_A,56,Standard,38.5
Batch_A,56,Standard,39.2
Batch_A,56,Standard,37.8
Batch_A,56,Standard,40.1
Batch_A,56,Standard,38.9
Batch_B,7,High_Strength,32.5
Batch_B,7,High_Strength,33.2
Batch_B,7,High_Strength,31.8
Batch_B,7,High_Strength,34.1
Batch_B,7,High_Strength,32.9
Batch_B,14,High_Strength,38.4
Batch_B,14,High_Strength,39.1
Batch_B,14,High_Strength,37.8
Batch_B,14,High_Strength,40.2
Batch_B,14,High_Strength,38.7
Batch_B,28,High_Strength,42.6
Batch_B,28,High_Strength,43.2
Batch_B,28,High_Strength,41.9
Batch_B,28,High_Strength,44.1
Batch_B,28,High_Strength,42.8
Batch_B,56,High_Strength,45.5
Batch_B,56,High_Strength,46.2
Batch_B,56,High_Strength,44.8
Batch_B,56,High_Strength,47.1
Batch_B,56,High_Strength,45.9
Batch_C,7,Lightweight,22.5
Batch_C,7,Lightweight,23.2
Batch_C,7,Lightweight,21.8
Batch_C,7,Lightweight,24.1
Batch_C,7,Lightweight,22.9
Batch_C,14,Lightweight,26.4
Batch_C,14,Lightweight,27.1
Batch_C,14,Lightweight,25.8
Batch_C,14,Lightweight,28.2
Batch_C,14,Lightweight,26.7
Batch_C,28,Lightweight,29.6
Batch_C,28,Lightweight,30.2
Batch_C,28,Lightweight,28.9
Batch_C,28,Lightweight,31.1
Batch_C,28,Lightweight,29.8
Batch_C,56,Lightweight,32.5
Batch_C,56,Lightweight,33.2
Batch_C,56,Lightweight,31.8
Batch_C,56,Lightweight,34.1
Batch_C,56,Lightweight,32.9
Batch_D,7,Standard,27.8
Batch_D,7,Standard,28.5
Batch_D,7,Standard,27.1
Batch_D,7,Standard,29.4
Batch_D,7,Standard,28.2
Batch_D,14,Standard,31.7
Batch_D,14,Standard,32.4
Batch_D,14,Standard,31.1
Batch_D,14,Standard,33.5
Batch_D,14,Standard,32.0
Batch_D,28,Standard,34.9
Batch_D,28,Standard,35.5
Batch_D,28,Standard,34.2
Batch_D,28,Standard,36.4
Batch_D,28,Standard,35.1
Batch_D,56,Standard,37.8
Batch_D,56,Standard,38.5
Batch_D,56,Standard,37.1
Batch_D,56,Standard,39.4
Batch_D,56,Standard,38.2
Batch_E,7,High_Strength,31.8
Batch_E,7,High_Strength,32.5
Batch_E,7,High_Strength,31.1
Batch_E,7,High_Strength,33.4
Batch_E,7,High_Strength,32.2
Batch_E,14,High_Strength,37.7
Batch_E,14,High_Strength,38.4
Batch_E,14,High_Strength,37.1
Batch_E,14,High_Strength,39.5
Batch_E,14,High_Strength,38.0
Batch_E,28,High_Strength,41.9
Batch_E,28,High_Strength,42.5
Batch_E,28,High_Strength,41.2
Batch_E,28,High_Strength,43.4
Batch_E,28,High_Strength,42.1
Batch_E,56,High_Strength,44.8
Batch_E,56,High_Strength,45.5
Batch_E,56,High_Strength,44.1
Batch_E,56,High_Strength,46.4
Batch_E,56,High_Strength,45.2

